EntityName,AttributeName,DataType
cart,price,int
cart,product_id,text
cart,qty,int
cart,user_id,text
order,date,date
order,order_id,text
order,price,int
order,product_id,text
order,qty,int
order,user_id,text
order_item,color,text
order_item,name,text
order_item,order_id,text
order_item,product_id,text
order_item,size,char
product,category,text
product,color,text
product,manufecturer,text
product,name,text
product,price,int
product,product_id,text
product,size,char
product,stock,int
user,email,text
user,full_address,composite
user,name,text
user,password,text
user,phone_number,text
user,user_id,text
